yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
21202024,2120,2024,CT0000200,CT0000200,,N,N,,I,ANSONIA,ANSONIA PD,Ansonia,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,19049,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,36,1,37,7,8,15,2.3,2.7,1998-01-01,2001-03-01,2020-11-01,2020-02-01,2020-11-01,2020-11-01,N,NAUGATUCK VALLEY PLANNING REGION,"Waterbury-Shelton, CT",Y,Y,Y
21212024,2121,2024,CT0000400,CT0000400,,N,N,,I,AVON,AVON PD,Avon,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,18886,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,31,5,36,5,3,8,1.9,2.3,1998-01-01,2010-02-01,2020-11-01,2020-02-01,2020-11-01,2020-11-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
21232024,2123,2024,CT0000700,CT0000700,,N,N,,I,BERLIN,BERLIN PD,Berlin,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,20529,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,37,5,42,8,8,16,2.2,2.8,1998-01-01,2000-02-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
21242024,2124,2024,CT0000900,CT0000900,,N,N,,I,BETHEL,BETHEL PD,Bethel,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,20799,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,31,5,36,10,8,18,2.0,2.6,1998-01-01,1998-08-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,WESTERN CONNECTICUT PLANNING REGION,"Bridgeport-Stamford-Danbury, CT",Y,Y,Y
21252024,2125,2024,CT0001100,CT0001100,,N,N,,I,BLOOMFIELD,BLOOMFIELD PD,Bloomfield,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,22032,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,36,1,37,8,11,19,2.0,2.5,1998-01-01,2005-10-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
21262024,2126,2024,CT0001400,CT0001400,,N,N,,I,BRANFORD,BRANFORD PD,Branford,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,28000,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,41,5,46,12,9,21,1.9,2.4,1998-01-01,1998-01-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,SOUTH CENTRAL CONNECTICUT PLANNING REGION,"New Haven, CT",Y,Y,Y
21272024,2127,2024,CT0001500,CT0001500,,N,N,,I,BRIDGEPORT,BRIDGEPORT PD,Bridgeport,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,148132,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,238,32,270,46,41,87,1.9,2.4,1998-01-01,2018-06-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,GREATER BRIDGEPORT PLANNING REGION,"Bridgeport-Stamford-Danbury, CT",Y,Y,Y
21282024,2128,2024,CT0001700,CT0001700,,N,N,,I,BRISTOL,BRISTOL PD,Bristol,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,61895,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,107,11,118,11,13,24,1.9,2.3,1998-01-01,2011-01-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,NAUGATUCK VALLEY PLANNING REGION,"Waterbury-Shelton, CT",Y,Y,Y
21292024,2129,2024,CT0001800,CT0001800,,N,N,,I,BROOKFIELD,BROOKFIELD PD,Brookfield,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,17496,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,33,6,39,4,5,9,2.1,2.7,1998-01-01,2006-08-01,2020-11-01,2020-03-01,2020-11-01,2020-11-01,N,WESTERN CONNECTICUT PLANNING REGION,"Bridgeport-Stamford-Danbury, CT",Y,Y,Y
21302024,2130,2024,CT0002300,CT0002300,,N,N,,I,CANTON,CANTON PD COLLINSVILLE,Canton,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,10166,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,16,4,20,1,1,2,1.7,2.2,1998-01-01,2006-11-01,2020-12-01,2020-03-01,2020-12-01,2020-12-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
21312024,2131,2024,CT0002500,CT0002500,,N,N,,I,CHESHIRE,CHESHIRE PD,Cheshire,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,29399,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,42,8,50,4,5,9,1.6,2.0,1998-01-01,1998-04-01,2020-11-01,2020-03-01,2020-11-01,2020-11-01,N,NAUGATUCK VALLEY PLANNING REGION,"Waterbury-Shelton, CT",Y,Y,Y
21322024,2132,2024,CT0002700,CT0002700,,N,N,,I,CLINTON,CLINTON PD,Clinton,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,13481,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,24,2,26,4,2,6,2.1,2.4,1998-01-01,2001-12-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
21332024,2133,2024,CT0003200,CT0003200,,N,N,,I,COVENTRY,COVENTRY PD,Coventry,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,12338,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,13,2,15,3,3,6,1.3,1.7,1998-01-01,2003-04-01,2020-08-01,2020-03-01,2020-08-01,2020-08-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
21342024,2134,2024,CT0003300,CT0003300,,N,N,,I,CROMWELL,CROMWELL PD,Cromwell,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,14411,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,23,3,26,5,5,10,1.9,2.5,1998-01-01,1999-12-01,2020-11-01,2020-02-01,2020-11-01,2020-11-01,N,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
21352024,2135,2024,CT0003400,CT0003400,,N,N,,I,DANBURY,DANBURY PD,Danbury,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,86257,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,142,0,142,14,8,22,1.8,1.9,1998-01-01,2014-04-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,WESTERN CONNECTICUT PLANNING REGION,"Bridgeport-Stamford-Danbury, CT",Y,Y,Y
21362024,2136,2024,CT0003500,CT0003500,,N,N,,I,DARIEN,DARIEN PD,Darien,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,22216,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,38,7,45,11,6,17,2.2,2.8,1998-01-01,2001-06-01,2022-02-01,2020-03-01,2022-02-01,2022-02-01,N,WESTERN CONNECTICUT PLANNING REGION,"Bridgeport-Stamford-Danbury, CT",Y,Y,Y
21372024,2137,2024,CT0003700,CT0003700,,N,N,,I,DERBY,DERBY PD,Derby,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,12437,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,31,1,32,2,1,3,2.7,2.8,1998-01-01,1999-06-01,2020-02-01,2020-02-01,2020-02-01,2020-02-01,N,NAUGATUCK VALLEY PLANNING REGION,"Waterbury-Shelton, CT",Y,Y,Y
21382024,2138,2024,CT0004200,CT0004200,,N,N,,I,EAST HAMPTON,EAST HAMPTON PD,East Hampton,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,13090,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,16,0,16,0,2,2,1.2,1.4,1998-01-01,2012-05-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
21392024,2139,2024,CT0004300,CT0004300,,N,N,,I,EAST HARTFORD,EAST HARTFORD PD,East Hartford,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,50584,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,101,12,113,20,24,44,2.4,3.1,1998-01-01,1999-12-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
21402024,2140,2024,CT0004400,CT0004400,,N,N,,I,EAST HAVEN,EAST HAVEN PD,East Haven,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,27447,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,56,8,64,5,7,12,2.2,2.8,1998-01-01,1998-01-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,SOUTH CENTRAL CONNECTICUT PLANNING REGION,"New Haven, CT",Y,Y,Y
21412024,2141,2024,CT0004500,CT0004500,,N,N,,I,EAST LYME,EAST LYME,East Lyme,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,19094,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,25,4,29,5,7,12,1.6,2.1,1998-01-01,2017-07-01,2021-07-01,2020-03-01,2021-07-01,2021-07-01,N,SOUTHEASTERN CONNECTICUT PLANNING REGION,"Norwich-New London-Willimantic, CT",Y,Y,Y
21422024,2142,2024,CT0004600,CT0004600,,N,N,,I,EASTON,EASTON PD,Easton,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,7652,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,14,1,15,1,4,5,2.0,2.6,1998-01-01,1999-07-01,2020-08-01,2020-03-01,2020-08-01,2020-08-01,N,GREATER BRIDGEPORT PLANNING REGION,"Bridgeport-Stamford-Danbury, CT",Y,Y,Y
21432024,2143,2024,CT0004700,CT0004700,,N,N,,I,EAST WINDSOR,EAST WINDSOR PD WAREHOUSE POINT,East Windsor,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,11179,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,20,4,24,6,6,12,2.3,3.2,1998-01-01,1998-01-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
21442024,2144,2024,CT0004900,CT0004900,,N,N,,I,ENFIELD,ENFIELD PD,Enfield,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,40659,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,89,16,105,10,16,26,2.4,3.2,1998-01-01,2019-01-01,2020-02-01,2020-02-01,2020-02-01,2020-02-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
21452024,2145,2024,CT0005100,CT0005100,,N,N,,I,FAIRFIELD,FAIRFIELD PD,Fairfield,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,64098,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,100,2,102,12,7,19,1.7,1.9,1998-01-01,2000-01-01,2020-11-01,2020-03-01,2020-11-01,2020-11-01,N,GREATER BRIDGEPORT PLANNING REGION,"Bridgeport-Stamford-Danbury, CT",Y,Y,Y
21462024,2146,2024,CT0005200,CT0005200,,N,N,,I,FARMINGTON,FARMINGTON PD,Farmington,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,26852,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,39,10,49,5,7,12,1.6,2.3,1998-01-01,2002-07-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
21472024,2147,2024,CT0005400,CT0005400,,N,N,,I,GLASTONBURY,GLASTONBURY PD,Glastonbury,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,35249,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,50,7,57,8,7,15,1.6,2.0,1998-01-01,2000-01-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
21482024,2148,2024,CT0005600,CT0005600,,N,N,,I,GRANBY,GRANBY PD,Granby,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,11371,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,13,1,14,3,4,7,1.4,1.8,1998-01-01,1998-02-01,2021-01-01,2020-02-01,2021-01-01,2021-01-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
21492024,2149,2024,CT0005700,CT0005700,,N,N,,I,GREENWICH,GREENWICH PD,Greenwich,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,63651,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,137,6,143,15,15,30,2.4,2.7,1998-01-01,1999-09-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,WESTERN CONNECTICUT PLANNING REGION,"Bridgeport-Stamford-Danbury, CT",Y,Y,Y
21512024,2151,2024,CT0005900,CT0005900,,N,N,,I,GROTON,GROTON CITY PD,Groton,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,9282,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,25,1,26,4,6,10,3.1,3.9,1998-01-01,1998-02-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,SOUTHEASTERN CONNECTICUT PLANNING REGION,"Norwich-New London-Willimantic, CT",Y,Y,Y
21522024,2152,2024,CT0006000,CT0006000,,N,N,,I,GUILFORD,GUILFORD PD,Guilford,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,22021,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,32,1,33,7,6,13,1.8,2.1,1998-01-01,2017-03-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,SOUTH CENTRAL CONNECTICUT PLANNING REGION,"New Haven, CT",Y,Y,Y
21532024,2153,2024,CT0006200,CT0006200,,N,N,,I,HAMDEN,HAMDEN PD,Hamden,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,59908,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,86,7,93,17,19,36,1.7,2.2,1998-01-01,2000-12-01,2020-02-01,2020-02-01,2020-02-01,2020-02-01,N,SOUTH CENTRAL CONNECTICUT PLANNING REGION,"New Haven, CT",Y,Y,Y
21542024,2154,2024,CT0006400,CT0006400,,N,N,,I,HARTFORD,HARTFORD PD,Hartford,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,119626,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,308,10,318,55,16,71,3.0,3.3,1998-01-01,2020-12-01,2020-12-01,2020-12-01,2021-03-01,2021-03-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
21572024,2157,2024,CT0007600,CT0007600,,N,N,,I,MADISON,MADISON PD,Madison,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,17458,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,29,3,32,2,8,10,1.8,2.4,1998-01-01,1998-01-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,SOUTH CENTRAL CONNECTICUT PLANNING REGION,"New Haven, CT",Y,Y,Y
