yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
21992024,2199,2024,CT0014000,CT0014000,,N,N,,I,THOMASTON,THOMASTON PD,Thomaston,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,7523,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,15,3,18,0,0,0,2.0,2.4,1998-01-01,2003-01-01,2020-08-01,2020-02-01,2020-08-01,2020-08-01,N,NAUGATUCK VALLEY PLANNING REGION,"Waterbury-Shelton, CT",Y,Y,Y
22002024,2200,2024,CT0014300,CT0014300,,N,N,,I,TORRINGTON,TORRINGTON PD,Torrington,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,35612,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,63,2,65,7,9,16,2.0,2.3,1998-01-01,2007-01-01,2020-08-01,2020-03-01,2020-08-01,2020-08-01,N,NORTHWEST HILLS PLANNING REGION,Not Specified,Y,Y,Y
22012024,2201,2024,CT0014400,CT0014400,,N,N,,I,TRUMBULL,TRUMBULL PD,Trumbull,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,37492,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,65,3,68,7,7,14,1.9,2.2,1998-01-01,1998-01-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,GREATER BRIDGEPORT PLANNING REGION,"Bridgeport-Stamford-Danbury, CT",Y,Y,Y
22022024,2202,2024,CT0014600,CT0014600,,N,N,,I,VERNON,VERNON PD,Vernon,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,30738,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,43,5,48,4,9,13,1.5,2.0,1998-01-01,2002-08-01,2020-02-01,2020-02-01,2020-02-01,2020-02-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
22032024,2203,2024,CT0014800,CT0014800,,N,N,,I,WALLINGFORD,WALLINGFORD PD,Wallingford,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,43561,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,68,7,75,6,14,20,1.7,2.2,1998-01-01,1999-12-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,SOUTH CENTRAL CONNECTICUT PLANNING REGION,"New Haven, CT",Y,Y,Y
22042024,2204,2024,CT0015100,CT0015100,,N,N,,I,WATERBURY,WATERBURY PD,Waterbury,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,115363,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,255,20,275,29,25,54,2.5,2.9,1998-01-01,2016-03-01,2020-12-01,2020-03-01,2020-12-01,2020-12-01,N,NAUGATUCK VALLEY PLANNING REGION,"Waterbury-Shelton, CT",Y,Y,Y
22052024,2205,2024,CT0015200,CT0015200,,N,N,,I,WATERFORD,WATERFORD PD,Waterford,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,19913,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,43,1,44,7,5,12,2.5,2.8,1998-01-01,2000-01-01,2021-09-01,2020-03-01,2021-09-01,2021-09-01,N,SOUTHEASTERN CONNECTICUT PLANNING REGION,"Norwich-New London-Willimantic, CT",Y,Y,Y
22062024,2206,2024,CT0015300,CT0015300,,N,N,,I,WATERTOWN,WATERTOWN PD,Watertown,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,22337,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,36,2,38,6,13,19,1.9,2.6,1998-01-01,2003-02-01,2005-02-01,2020-02-01,2020-03-01,2020-03-01,N,NAUGATUCK VALLEY PLANNING REGION,"Waterbury-Shelton, CT",Y,Y,Y
22072024,2207,2024,CT0015500,CT0015500,,N,N,,I,WEST HARTFORD,WEST HARTFORD PD,West Hartford,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,64093,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,111,4,115,18,17,35,2.0,2.3,1998-01-01,2007-07-01,2020-11-01,2020-03-01,2020-11-01,2020-11-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
22082024,2208,2024,CT0015600,CT0015600,,N,N,,I,WEST HAVEN,WEST HAVEN PD,West Haven,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,54598,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,105,8,113,15,21,36,2.2,2.7,1998-01-01,2015-01-01,2020-11-01,2020-07-01,2020-11-01,2020-11-01,N,SOUTH CENTRAL CONNECTICUT PLANNING REGION,"New Haven, CT",Y,Y,Y
22092024,2209,2024,CT0015700,CT0015700,,N,N,,I,WESTON,WESTON PD,Weston,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,10353,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,18,0,18,0,1,1,1.7,1.8,1998-01-01,2003-08-01,2020-08-01,2020-03-01,2020-08-01,2020-08-01,N,WESTERN CONNECTICUT PLANNING REGION,"Bridgeport-Stamford-Danbury, CT",Y,Y,Y
22102024,2210,2024,CT0015800,CT0015800,,N,N,,I,WESTPORT,WESTPORT PD,Westport,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,27606,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,58,3,61,9,4,13,2.4,2.7,1998-01-01,2000-02-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,WESTERN CONNECTICUT PLANNING REGION,"Bridgeport-Stamford-Danbury, CT",Y,Y,Y
22112024,2211,2024,CT0015900,CT0015900,,N,N,,I,WETHERSFIELD,WETHERSFIELD PD,Wethersfield,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,27073,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,42,5,47,4,7,11,1.7,2.1,1998-01-01,2002-06-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
22122024,2212,2024,CT0016100,CT0016100,,N,N,,I,WILTON,WILTON PD,Wilton,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,18398,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,34,1,35,5,3,8,2.1,2.3,1998-01-01,2000-07-01,2020-11-01,2020-03-01,2020-11-01,2020-11-01,N,WESTERN CONNECTICUT PLANNING REGION,"Bridgeport-Stamford-Danbury, CT",Y,Y,Y
22132024,2213,2024,CT0016200,CT0016200,,N,N,,I,WINCHESTER,WINSTED PD,Winchester,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,10247,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,17,1,18,2,2,4,1.9,2.1,1998-01-01,2001-01-01,2020-08-01,2020-03-01,2020-08-01,2020-08-01,N,NORTHWEST HILLS PLANNING REGION,Not Specified,Y,Y,Y
22142024,2214,2024,CT0016300,CT0016300,,N,N,,I,WILLIMANTIC,WILLIMANTIC PD,Willimantic,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,18393,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,35,3,38,4,6,10,2.1,2.6,1998-01-01,2001-04-01,2020-11-01,2020-03-01,2020-11-01,2020-11-01,N,SOUTHEASTERN CONNECTICUT PLANNING REGION,"Norwich-New London-Willimantic, CT",Y,Y,Y
22152024,2215,2024,CT0016400,CT0016400,,N,N,,I,WINDSOR,WINDSOR PD,Windsor,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,29382,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,42,2,44,10,8,18,1.8,2.1,1998-01-01,2002-03-01,2020-12-01,2020-03-01,2020-12-01,2020-12-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
22162024,2216,2024,CT0016500,CT0016500,,N,N,,I,WINDSOR LOCKS,WINDSOR LOCKS PD,Windsor Locks,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,12513,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,30,5,35,1,5,6,2.5,3.3,1998-01-01,2000-10-01,2021-01-01,2020-03-01,2021-01-01,2021-01-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
22172024,2217,2024,CT0016600,CT0016600,,N,N,,I,WOLCOTT,WOLCOTT PD,Wolcott,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,16379,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,25,3,28,2,7,9,1.6,2.3,1998-01-01,1998-04-01,2020-08-01,2020-03-01,2020-08-01,2020-08-01,N,NAUGATUCK VALLEY PLANNING REGION,"Waterbury-Shelton, CT",Y,Y,Y
22182024,2218,2024,CT0016700,CT0016700,,N,N,,I,WOODBRIDGE,WOODBRIDGE PD,Woodbridge,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,9010,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,20,3,23,0,6,6,2.2,3.2,1998-01-01,1998-01-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,SOUTH CENTRAL CONNECTICUT PLANNING REGION,"New Haven, CT",Y,Y,Y
22202024,2220,2024,CT0017000,CT0017000,,N,N,,I,UNIV OF CT: ALL CAMPUSES,UNIVERSITY OF CONNECTICUT PD STORRS,University of Connecticut:,All Campuses,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,University or College,0,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,66,0,66,11,0,11,0,0,1998-01-01,1998-02-01,2020-12-01,2020-02-01,2020-12-01,2020-12-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
22222024,2222,2024,CT0018500,CT0018500,,N,N,,I,METROPLTN TRNSPRTN AUTH,METRO TRANS AUTH PD,Metropolitan Transportation Authority,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,Other,0,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,36,0,36,7,1,8,0,0,1998-01-01,2020-03-01,2020-04-01,2020-04-01,2020-04-01,2020-04-01,N,WESTERN CONNECTICUT PLANNING REGION,"Bridgeport-Stamford-Danbury, CT",Y,Y,Y
22232024,2223,2024,CT0019000,CT0019000,,N,N,,I,CENTRAL CONNECTICUT ST U,CENTRAL CONN STATE UNIVERSITY NEW BRITAIN,Central Connecticut State University,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,University or College,0,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,11,3,14,3,5,8,0,0,1998-01-01,1998-05-01,2020-12-01,2020-03-01,2020-12-01,2020-12-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
22242024,2224,2024,CT0019100,CT0019100,,N,N,,I,EASTERN CONNECTICUT ST U,EASTERN CONN STATE UNIVERSITY PD WILLIMANTIC,Eastern Connecticut State University,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,University or College,0,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,8,5,13,5,3,8,0,0,1998-01-01,2005-10-01,2020-08-01,2020-03-01,2020-08-01,2020-08-01,N,SOUTHEASTERN CONNECTICUT PLANNING REGION,"Norwich-New London-Willimantic, CT",Y,Y,Y
22262024,2226,2024,CT0019300,CT0019300,,N,N,,I,WESTERN CONNECTICUT ST U,WESTERN CONNECTICUT STATE COLLEGE PD DANBURY,Western Connecticut State University,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,University or College,0,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,10,2,12,1,3,4,0,0,1998-01-01,1999-10-01,2020-11-01,2020-02-01,2020-11-01,2020-11-01,N,WESTERN CONNECTICUT PLANNING REGION,"Bridgeport-Stamford-Danbury, CT",Y,Y,Y
22272024,2227,2024,CT0019400,CT0019400,,N,N,,I,SO CONN STATE UNIVERSITY,SOUTHERN CONNECTICUT STATE UNIV PD NEW HAVEN,Southern Connecticut State University,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,University or College,0,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,16,3,19,5,3,8,0,0,1998-01-01,1999-01-01,2020-08-01,2020-03-01,2020-08-01,2020-08-01,N,SOUTH CENTRAL CONNECTICUT PLANNING REGION,"New Haven, CT",Y,Y,Y
22292024,2229,2024,CT0020000,CT0020000,,N,N,,I,STATE CAPITOL POLICE,CAPITOL POLICE,State Capitol Police,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,Other State Agency,0,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,27,9,36,3,2,5,0,0,1998-01-01,1998-03-01,2021-01-01,2020-04-01,2021-01-01,2021-01-01,N,CAPITOL PLANNING REGION,"Hartford-West Hartford-East Hartford, CT",Y,Y,Y
22372024,2237,2024,CT00A5900,CT00A5900,,N,N,,I,GROTON TOWN,GROTON TOWN PD,Groton Town,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,27927,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,55,8,63,8,12,20,2.3,3.0,1998-01-01,2005-03-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,SOUTHEASTERN CONNECTICUT PLANNING REGION,"Norwich-New London-Willimantic, CT",Y,Y,Y
22382024,2238,2024,CT00B5900,CT00B5900,,N,N,,I,GROTON LONG POINT,GROTON LONG POINT PD,Groton Long Point,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,517,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,0,0,9.7,9.7,1998-01-01,2020-08-01,2020-09-01,2020-09-01,2020-09-01,2020-09-01,N,SOUTHEASTERN CONNECTICUT PLANNING REGION,"Norwich-New London-Willimantic, CT",Y,Y,Y
22392024,2239,2024,CTCSP0000,CTCSP0000,,N,N,,I,CONNECTICUT STATE POLICE,CONNECTICUT STATE POLICE,Connecticut State Police,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,State Police,526490,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,13,8A,"Non-MSA counties 100,000 or over",8,Non-MSA Counties,Y,13,,Y,844,218,1062,129,265,394,1.8,2.8,1998-01-01,2003-01-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,UNMAPPED COUNTY,Not Specified,Y,Y,Y
22402024,2240,2024,CTDI00200,CTDI00200,,N,N,,I,MASHANTUCKET PEQUOT TRBL,MASHANTUCKET PEQUOT TRIBAL POLICE LEDYARD,Mashantucket Pequot Tribal,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,Tribal,0,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,17,7,24,4,4,8,0,0,1998-01-01,2017-01-01,2021-05-01,2020-02-01,2021-05-01,2021-05-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
22412024,2241,2024,CTDI00300,CTDI00300,,N,N,,I,MOHEGAN TRIBAL,BUREAU OF INDIAN AFFAIRS,Mohegan Tribal,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,Tribal,0,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,30,4,34,2,5,7,0,0,1998-01-01,2016-02-01,2021-03-01,2020-03-01,2021-03-01,2021-03-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
225702024,22570,2024,CT0018300,CT0018300,,N,N,,I,DEPT OF ENGERY & ENVIROMENTAL PROTECTION,"DEPT OF ENVIRONMENTAL PROTECTION, HARTFORD",Department of Energy and Environmental Protection,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,Other State Agency,0,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,49,5,54,13,5,18,0,0,1998-01-01,2019-01-01,2019-01-01,2020-03-01,2021-03-01,2021-03-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
260582024,26058,2024,CT0018000,CT0018000,,N,N,,I,DEPT OF MOTOR VEHICLES,,Department of Motor Vehicles,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,Other State Agency,0,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,43,0,43,7,0,7,0,0,1998-01-01,2016-08-01,,,,,N,NOT SPECIFIED,Not Specified,Y,Y,Y
262032024,26203,2024,CT0007200,CT0007200,,N,N,,I,LEDYARD,,Ledyard,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,15483,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,20,3,23,3,7,10,1.5,2.1,1998-01-01,2016-02-01,2021-03-01,2020-03-01,2021-03-01,2021-03-01,N,SOUTHEASTERN CONNECTICUT PLANNING REGION,"Norwich-New London-Willimantic, CT",Y,Y,Y
336772024,33677,2024,CT005049E,CT005049E,,N,N,,I,YALE UNIVERSITY,,Yale University,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,University or College,0,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,72,5,77,19,13,32,0,0,1998-01-01,2020-09-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,N,SOUTH CENTRAL CONNECTICUT PLANNING REGION,"New Haven, CT",Y,Y,Y
370412024,37041,2024,CT0060200,CT0060200,,N,N,,I,MONTVILLE,,Montville,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,17730,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,25,5,30,4,5,9,1.6,2.2,1998-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,SOUTHEASTERN CONNECTICUT PLANNING REGION,"Norwich-New London-Willimantic, CT",Y,Y,Y
